虫	チュウ、キ	むし	む	insect, bug, temper	insect	TRÙNG	côn trùng		虫(むし): insect; bug; cricket; moth; worm<br>昆虫(こんちゅう): insect; bug<br>虫歯(むしば): cavity; tooth decay; decayed tooth; caries	2	1	1351	中: in; inside; middle; mean; center	6	虫	142	6	むし・むしへん	蟲	会意 Hội ý	grade1 JLPT.N2 Kanji_Nature_Animal kanjifreq1001-1500
玉	ギョク	たま、たま-、-だま	おう, だん	jewel, ball	jewel	NGỌC	ngọc		玉(たま): (1) ball; sphere; globe; orb (2) bead (of sweat, dew, etc.); drop; droplet (3) ball (in sports) (4) pile (of noodles, etc.) (5) bullet (6) bulb (i.e. a light bulb) (7) lens (of glasses, etc.) (8) bead (of an abacus) (9) ball (i.e. a testicle) (10) gem; jewel (esp. spherical; sometimes used figuratively); pearl (11) female entertainer (e.g. a geisha) (12) person (when commenting on their nature); character (13) item, funds or person used as part of a plot (14) egg (15) coin (16) precious; beautiful; excellent<br>玉(ぎょく): (1) precious stone (esp. jade) (2) egg (sometimes esp. as a sushi topping) (3) stock or security being traded; product being bought or sold (4) position (in finance, the amount of a security either owned or owed by an investor or dealer) (5) geisha (6) time charge for a geisha (7) king (shogi)	2	1	737	玉: jewel; ball<br>丶: dot; tick or dot radical (no. 3)	5	玉	96	5	たま・たまへん ・ おう・おうへん・あうさま	(không có)	象形 Tượng hình	grade1 JLPT.N2 Kanji_Nature_Substance Kanji_Physical.Properties_Shape.Size kanjifreq501-750
竹	チク	たけ	たか	bamboo	bamboo	TRÚC	trúc		竹(たけ): (1) bamboo (2) middle (of a three-tier ranking system)	2	1	593	竹: bamboo, bamboo radical (no. 118)	6	竹	118	6	たけ・たけかんむり	(không có)	象形 Tượng hình	grade1 JLPT.N2 Kanji_Nature_Plant.Tree kanjifreq501-750
糸	シ	いと		thread	thread	MỊCH	sợ chỉ		糸(いと): thread; yarn; string<br>毛糸(けいと): knitting wool	2	1	1488	糸: thread, string, thread radical (no. 120)	6	糸	120	6	いと・いとへん	絲	会意 Hội ý	grade1 JLPT.N2 Kanji_Clothing.Textiles kanjifreq1001-1500
貝	バイ	かい		shellfish	shellfish	BỐI	vỏ sò		貝(かい): shell; shellfish<br>貝殼(かいがら): shell	2	1	1787	目: eye; class; look; insight; experience; care; favor	7	貝	154	7	かい・かいへん・こがい	(không có)	象形 Tượng hình	grade1 JLPT.N2 Kanji_Human.Activities_Money.Commerce Kanji_Nature_Animal_Fish kanjifreq1501-2000
細	サイ	ほそ.い、ほそ.る、こま.か、こま.かい		dainty, get thin, taper, slender, narrow	dainty	TẾ	tinh tế, tường tế, tế bào		"細胞(さいぼう): cell (biology)<br>細かい(こまかい): (1) small (2) fine; minute (3) minor; trivial (4) sensitive; attentive<br>詳細(しょうさい): detail; particulars<br>細菌(さいきん): bacillus; bacterium; germ<br>細工(さいく): work; craftsmanship; tactics; trick<br>細い(ほそい): (1) thin; slender; fine (2) unlucky (billiards slang)<br>心細い(こころぼそい): helpless; forlorn; hopeless; unpromising; lonely; discouraging; disheartening<br>亜細亜(アジア): (1) Asia (esp. ""the Far East"") (2) Asian; Asiatic<br>細やか(こまやか): friendly; heartfelt; tender"	2	2	537	糸: thread<br>田: rice field; rice paddy	11	糸	120	6	いと・いとへん	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Physical.Properties_Miscellaneous kanjifreq501-750
丸	ガン	まる、まる.める、まる.い	ま, わ, わに	round, full, month, perfection, -ship, pills, make round, roll up, curl up, seduce, explain away	round	HOÀN	tròn		日の丸(ひのまる): (1) outline of the sun (esp. represented as a red circle) (2) the Japanese flag<br>丸ごと(まるごと): in its entirety; whole; wholly<br>丸める(まるめる): (1) to make round; to roll up; to curl up (2) to seduce; to cajole; to explain away (3) to round off (a fraction) (4) to lump together<br>丸(まる): (1) circle (2) full (e.g. month, day, etc.) (3) perfection; purity (4) suffix for ship names<br>丸っきり(まるっきり): completely; perfectly; just as if<br>丸で(まるで): (1) quite; entirely; completely; at all (2) as if; as though; just like<br>丸々(まるまる): (1) plump; rotund; chubby (2) entirely; completely; wholly	2	2	542	九: nine<br>丶: dot; tick or dot radical (no. 3)	3	丶	3	1	てん・ちょぼ・ちゅ・ちゅてん	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Physical.Properties_Shape.Size kanjifreq501-750
角	カク	かど、つの	い, す, すみ, ずみ, ふさ	angle, corner, square	angle	GIÁC	tam giác, tứ giác		"町角(まちかど): street corner<br>角(かど): (1) corner (e.g. desk, pavement) (2) edge<br>角度(かくど): angle<br>三角(さんかく): triangle; triangular<br>四角い(しかくい): square; rectangular<br>方角(ほうがく): direction; way; compass point<br>四角(しかく): square<br>直角(ちょっかく): right angle; perpendicular<br>角(かく): (1) angle (2) square (or cube) (3) bishop (shogi) (4) third degree (of the Japanese & Chinese pentatonic scale) (5) Chinese ""horn"" constellation (one of the 28 mansions) (6) jiao (monetary unit of China; one-tenth of a yuan)<br>角(つの): horn<br>四つ角(よつかど): four corners; crossroads<br>兎に角(とにかく): anyhow; at any rate; anyway; somehow or other; generally speaking; in any case<br>兎も角(ともかく): anyhow; anyway; somehow or other; generally speaking; in any case; be that as it may<br>兎角(とかく): (1) (doing) various things; (doing) this and that (2) being apt to; being prone to; tending to become (3) somehow or other; anyhow; anyway (4) rabbit horns (used as a metaphor for things that do not exist)<br>折角(せっかく): with trouble; at great pains; long-awaited"	2	2	805	勹: wrapping enclosure; wrapping radical (no. 20)	7	角	148	7	つの・かく・つのへん	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Nature_Animal_Parts.of.Body Kanji_Physical.Properties_Shape.Size kanjifreq751-1000
線	セン	すじ		line, track	line	TUYẾN	dây, tiền tuyến, điện tuyến, vô tuyến		新幹線(しんかんせん): bullet train (very high speed); Shinkansen<br>線(せん): (1) line; stripe; stria (2) line (e.g. telephone line); wire (3) ray (e.g. X-ray); beam (4) line (e.g. of a railroad); track; route; lane (5) outline; contours; form (6) level (7) division (8) line (of action); position; approach; policy; principle (9) impression one leaves; air one gives off<br>無線(むせん): wireless; radio<br>線路(せんろ): line; track; roadbed<br>直線(ちょくせん): straight line<br>沿線(えんせん): along railway line<br>光線(こうせん): beam; light ray<br>電線(でんせん): (1) electric line; electric cable; power cable (2) telephone line; telegraph wire<br>曲線(きょくせん): curve<br>内線(ないせん): phone extension; indoor wiring; inner line<br>幹線(かんせん): main line; trunk line<br>三味線(しゃみせん): three-stringed Japanese guitar; shamisen<br>地平線(ちへいせん): horizon (related to land)<br>水平線(すいへいせん): horizon (related to sea or lakes)<br>脱線(だっせん): (1) derailment (2) digression; deviation<br>下線(かせん): underline; underscore<br>点線(てんせん): dotted line; perforated line	2	2	382	糸: thread<br>泉: spring; fountain	15	糸	120	6	いと・いとへん	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Physical.Properties_Shape.Size kanjifreq251-500
毛	モウ	け	めん, も	fur, hair, feather, down	fur	MAO	lông		"毛(け): hair; fur<br>毛布(もうふ): blanket<br>毛皮(けがわ): (1) fur; skin; pelt (2) kanji ""fur"" radical<br>髪の毛(かみのけ): hair (head)<br>毛糸(けいと): knitting wool<br>羊毛(ようもう): wool"	2	2	1179	毛: fur, hair, fur radical (no. 82)	4	毛	82	4	け	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Nature_Animal_Parts.of.Body kanjifreq1001-1500
谷	コク	たに、きわ.まる	がい, がえ, がや, せ, たり, たん, や	valley	valley	CỐC	thung lũng, khê cốc		谷(たに): valley	2	2	508	口: mouth	7	谷	150	7	たに・たにへん	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Nature_Landscape kanjifreq501-750
雲	ウン	くも、-ぐも	き, ずも, のめ	cloud	cloud	VÂN	mây		雲(くも): cloud	2	2	1256	雨: rain<br>云: say	12	雨	173	8	あめ・あめかんむり・あまかんむり	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Nature_Weather kanjifreq1001-1500
岩	ガン	いわ		boulder, rock, cliff	boulder	NHAM	đá tảng, nham thạch		岩(いわ): rock; crag<br>溶岩(ようがん): lava<br>岩石(がんせき): rock	2	2	787	山: mountain<br>石: stone	8	山	46	3	やま・やまへん・やまかんむり	(không có)	象形 Tượng hình	grade2 JLPT.N2 Kanji_Nature_Landscape kanjifreq751-1000
星	セイ、ショウ	ほし、-ぼし		star, spot, dot, mark	star	TINH	hành tinh, tinh tú		衛星(えいせい): satellite<br>星(ほし): (1) star; any light-emitting (or reflecting) heavenly body (except for the sun and the moon) (2) suspect (police slang)<br>火星(かせい): Mars (planet)<br>星座(せいざ): constellation<br>惑星(わくせい): planet	2	2	844	日: day; sun; Japan; counter for days<br>生: life; genuine; birth	9	日	72	4	ひ・ひへん・にち・にちへん	(không có)	形声 Hình thanh	grade2 JLPT.N2 Kanji_Nature_Sky kanjifreq751-1000
